"Number of Establishments with Productivity Improvement Program (PIP) by Size of Employment, Productivity Improvement Program and Major Industry Group, Philippines:  2017 - 2019"

"Size of Employment";"Major Industry Group";"Productivity Improvement Program";"2017";"2019"
"Employing 200 and Over Workers";"..Information and Communication";"..Six Sigma";9;17
"Employing 200 and Over Workers";"..Information and Communication";"..Just-In-Time";6;13
"Employing 200 and Over Workers";"..Information and Communication";"..Continuous Process Improvement";35;40
"Employing 200 and Over Workers";"..Information and Communication";"..Others";3;2
"Employing 200 and Over Workers";"..Information and Communication";"None";.;92
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"Establishments with Productivity Improvement Program (PIP)";100;113
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"..5S of Good Housekeeping";67;.
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"..7S of Good Housekeeping";.;70
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"..Client Satisfaction Measurement (CSM)";40;79
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"..Total Quality Management (TQM)";22;23
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"..Lean Management/Lean Production";24;17
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"..Suggestion/Feedback Scheme";37;68
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"..Six Sigma";17;24
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"..Just-In-Time";9;12
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"..Continuous Process Improvement";43;81
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"..Others";2;8
"Employing 200 and Over Workers";"..Financial and Insurance Activities";"None";.;187
"Employing 200 and Over Workers";"..Real Estate Activities";"Establishments with Productivity Improvement Program (PIP)";22;14
"Employing 200 and Over Workers";"..Real Estate Activities";"..5S of Good Housekeeping";16;.
"Employing 200 and Over Workers";"..Real Estate Activities";"..7S of Good Housekeeping";.;3
"Employing 200 and Over Workers";"..Real Estate Activities";"..Client Satisfaction Measurement (CSM)";11;6
"Employing 200 and Over Workers";"..Real Estate Activities";"..Total Quality Management (TQM)";10;0
"Employing 200 and Over Workers";"..Real Estate Activities";"..Lean Management/Lean Production";5;3
"Employing 200 and Over Workers";"..Real Estate Activities";"..Suggestion/Feedback Scheme";7;3
"Employing 200 and Over Workers";"..Real Estate Activities";"..Six Sigma";3;0
"Employing 200 and Over Workers";"..Real Estate Activities";"..Just-In-Time";1;0
"Employing 200 and Over Workers";"..Real Estate Activities";"..Continuous Process Improvement";6;8
"Employing 200 and Over Workers";"..Real Estate Activities";"..Others";0;6
"Employing 200 and Over Workers";"..Real Estate Activities";"None";.;45
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"Establishments with Productivity Improvement Program (PIP)";45;58
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"..5S of Good Housekeeping";30;.
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"..7S of Good Housekeeping";.;11
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"..Client Satisfaction Measurement (CSM)";19;38
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"..Total Quality Management (TQM)";18;39
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"..Lean Management/Lean Production";11;2
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"..Suggestion/Feedback Scheme";14;13
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"..Six Sigma";7;6
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"..Just-In-Time";5;0
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"..Continuous Process Improvement";18;17
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"..Others";4;2
"Employing 200 and Over Workers";"..Professional, Scientific and Technical Activities";"None";.;66
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"Establishments with Productivity Improvement Program (PIP)";453;395
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"..5S of Good Housekeeping";273;.
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"..7S of Good Housekeeping";.;196
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"..Client Satisfaction Measurement (CSM)";234;229
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"..Total Quality Management (TQM)";170;177
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"..Lean Management/Lean Production";84;83
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"..Suggestion/Feedback Scheme";131;148
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"..Six Sigma";73;92
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"..Just-In-Time";70;108
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"..Continuous Process Improvement";192;231
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"..Others";23;18
"Employing 200 and Over Workers";"..Administrative and Support Service Activities";"None";.;708
"Employing 200 and Over Workers";"..Education Except Public Education";"Establishments with Productivity Improvement Program (PIP)";142;125
"Employing 200 and Over Workers";"..Education Except Public Education";"..5S of Good Housekeeping";91;.
"Employing 200 and Over Workers";"..Education Except Public Education";"..7S of Good Housekeeping";.;64
"Employing 200 and Over Workers";"..Education Except Public Education";"..Client Satisfaction Measurement (CSM)";53;64
"Employing 200 and Over Workers";"..Education Except Public Education";"..Total Quality Management (TQM)";72;73
"Employing 200 and Over Workers";"..Education Except Public Education";"..Lean Management/Lean Production";14;15
"Employing 200 and Over Workers";"..Education Except Public Education";"..Suggestion/Feedback Scheme";57;61
"Employing 200 and Over Workers";"..Education Except Public Education";"..Six Sigma";7;7
"Employing 200 and Over Workers";"..Education Except Public Education";"..Just-In-Time";14;10
"Employing 200 and Over Workers";"..Education Except Public Education";"..Continuous Process Improvement";52;41
"Employing 200 and Over Workers";"..Education Except Public Education";"..Others";9;9
"Employing 200 and Over Workers";"..Education Except Public Education";"None";.;145
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"Establishments with Productivity Improvement Program (PIP)";138;142
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..5S of Good Housekeeping";106;.
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..7S of Good Housekeeping";.;100
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Client Satisfaction Measurement (CSM)";96;100
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Total Quality Management (TQM)";86;80
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Lean Management/Lean Production";20;29
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Suggestion/Feedback Scheme";79;91
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Six Sigma";20;22
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Just-In-Time";16;26
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Continuous Process Improvement";69;65
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Others";5;13
"Employing 200 and Over Workers";"..Human Health and Social Work Activities Except Public Health Activities";"None";.;107
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"Establishments with Productivity Improvement Program (PIP)";19;14
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"..5S of Good Housekeeping";13;.
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"..7S of Good Housekeeping";.;11
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"..Client Satisfaction Measurement (CSM)";9;7
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"..Total Quality Management (TQM)";7;12
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"..Lean Management/Lean Production";0;5
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"..Suggestion/Feedback Scheme";10;7
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"..Six Sigma";0;5
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"..Just-In-Time";2;4
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"..Continuous Process Improvement";2;9
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"..Others";2;0
"Employing 200 and Over Workers";"..Arts, Entertainment and  Recreation";"None";.;14
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Establishments with Productivity Improvement Program (PIP)";6;0
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..5S of Good Housekeeping";5;.
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..7S of Good Housekeeping";.;0
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Client Satisfaction Measurement (CSM)";3;0
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Total Quality Management (TQM)";5;0
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Lean Management/Lean Production";0;0
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Suggestion/Feedback Scheme";1;0
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Six Sigma";0;0
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Just-In-Time";0;0
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Continuous Process Improvement";1;0
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Others";0;0
"Employing 200 and Over Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"None";.;5
